guild_id,bot_id,prefix,name_tts,language_tts,exp_enabled
1106615853660766298,939876818465488926,,,,0
474935164451946506,1074276395640954942,!,Mia,it-it,0
474935164451946506,1098906798016184422,&,,,0
474935164451946506,1102196649729728542,+p,Mia,it-it,0
474935164451946506,938487470339801169,p,Pietro,it-it,1
474935164451946506,939876818465488926,$,,,1
474935164451946506,983315338886279229,%,"Amy ",en-us,0
608967318789160970,1074276395640954942,,Mia,it-it,0
608967318789160970,1098906798016184422,&,,,0
608967318789160970,1102196649729728542,*,Mia,it-it,0
608967318789160970,938487470339801169,p,Pietro,it-it,1
608967318789160970,939876818465488926,$,Pietro,it-it,1
608967318789160970,983315338886279229,%,Amy,en-us,0
876606568412639272,938487470339801169,p,,,0
876606568412639272,939876818465488926,,,,0
