guild_id,bot_id,prefix
474935164451946506,1098906798016184422,&
474935164451946506,938487470339801169,p
474935164451946506,939876818465488926,$
608967318789160970,1028681580547428352,#
608967318789160970,1098906798016184422,&
608967318789160970,938487470339801169,p
608967318789160970,939876818465488926,$
608967318789160970,983315338886279229,%
729678390277439638,938487470339801169,ciaoPantaSaiCheSeiGay?
731222545864458260,938487470339801169,p
970275792711987231,938487470339801169,keriaandgumayusithetwokingsofgod
